ID;MODULO;SUBMODULO;CAPACIDAD;LEGACY_EVIDENCE;LEGACY_STATUS;REACT_EVIDENCE;REACT_STATUS;PARITY_STATUS;SEVERITY;NOTES
"SH-01";"GLOBAL_SHELL";"Sesión";"Iniciar sesión";"app.js:1175 AUTENTICACIÓN; erp_auth_users en localStorage";"ACTIVE";"features/auth/pages/LoginPage.tsx; Supabase Auth";"OK";"INTENTIONALLY_DIFFERENT";"";"El legacy guarda usuarios y contraseñas en localStorage. React usa Supabase Auth. Misma capacidad, sin la vulnerabilidad."
"SH-02";"GLOBAL_SHELL";"Sesión";"Cerrar sesión";"app.js:applyAuthState";"ACTIVE";"features/auth";"OK";"PARITY";"";""
"SH-03";"GLOBAL_SHELL";"Sesión";"Recuperar contraseña";"app.js data-pwd-gen / data-setpass (autogenera y la muestra)";"ACTIVE";"features/auth/pages/RecuperarPage.tsx + DefinirContrasenaPage.tsx";"OK";"INTENTIONALLY_DIFFERENT";"";"El legacy genera y muestra la contraseña en pantalla; React manda un enlace."
"SH-04";"GLOBAL_SHELL";"Sesión";"Entrar como visitante (sin usuario)";"app.js:1008 getPermsFor(null) → catalogo + micotizacion";"ACTIVE";"sin equivalente: React exige sesión";"NO";"MISSING";"HIGH";"El catálogo público y el portal de cotización del cliente no existen en React."
"SH-05";"GLOBAL_SHELL";"Empresa";"Elegir empresa";"app.js:578 renderEmpresaPickerCards; data-emp-card";"ACTIVE";"features/empresa/useEmpresa";"OK";"PARITY";"";""
"SH-06";"GLOBAL_SHELL";"Empresa";"Editar datos de la empresa";"app.js data-emp-field; erp_empresas_override";"ACTIVE";"modules/configuracion/pages/EmpresaPage.tsx; RPC config_empresa_actualizar";"OK";"PARITY";"";""
"SH-07";"GLOBAL_SHELL";"Navegación";"Menú lateral por secciones y grupos";"index.html data-section (18 secciones); app.js:39891 renderLeftNavSubItems";"ACTIVE";"components/layout (sidebar)";"PARCIAL";"PARTIAL";"MEDIUM";"React tiene 10 módulos contra 19 secciones del legacy. El detalle está en las filas de cada módulo."
"SH-08";"GLOBAL_SHELL";"Navegación";"Submenús por sección";"app.js data-lnav-sub / data-lnav-section";"ACTIVE";"components/layout";"OK";"PARITY";"";""
"SH-09";"GLOBAL_SHELL";"Navegación";"Volver/adelante del navegador, enlaces profundos";"no: el estado vive en state{} en memoria";"ACTIVE";"React Router 7 hash; 76 rutas";"OK";"INTENTIONALLY_DIFFERENT";"";"React sobrepasa: toda la navegación es direccionable."
"SH-10";"GLOBAL_SHELL";"Permisos";"Ocultar secciones según permisos";"app.js:1029 applyPermsToTopnav; erp_user_perms";"ACTIVE";"features/permisos + RLS";"OK";"INTENTIONALLY_DIFFERENT";"";"El legacy oculta con display:none y el dato ya está en el navegador; React lo corta en el servidor."
"SH-11";"GLOBAL_SHELL";"Permisos";"Editar permisos por usuario y sección";"app.js data-perm-k; erp_user_perms";"ACTIVE";"modules/configuracion/pages/UsuariosPage.tsx; RPC config_cambiar_rol";"PARCIAL";"PARTIAL";"MEDIUM";"El legacy permite activar sección por sección y por usuario. React asigna un rol."
"SH-12";"GLOBAL_SHELL";"Apariencia";"Elegir tema";"app.js:2325 SELECTOR DE TEMA; data-tema-id";"ACTIVE";"RPC guardar_mi_apariencia; localStorage bt-apariencia";"OK";"PARITY";"";""
"SH-13";"GLOBAL_SHELL";"Notificaciones";"Panel de notificaciones en la cabecera";"app.js:37187 renderHeaderNotifPanel; data-notif-msg-ok / data-notif-email";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";""
"SH-14";"GLOBAL_SHELL";"Notificaciones";"Notificaciones push del navegador (FCM)";"app.js firebase-messaging; #push-bell-toggle-btn; erp_push_fcm_token";"ACTIVE";"sin equivalente";"NO";"MISSING";"LOW";"Depende de Firebase. Ver LEGACY_ONLY."
"SH-15";"GLOBAL_SHELL";"PWA";"Instalar como aplicación";"manifest.webmanifest; #push-install-btn";"ACTIVE";"sin manifest";"NO";"MISSING";"LOW";""
"SH-16";"GLOBAL_SHELL";"Búsqueda";"Búsqueda global desde la cabecera";"no se encontró un buscador global; cada sección tiene el suyo";"UNREACHABLE";"cada módulo tiene su búsqueda";"N/A";"PARITY";"";"Ninguno de los dos tiene búsqueda global."
"SH-17";"GLOBAL_SHELL";"Errores";"Mostrar un error recuperable";"no hay estado de error: el render falla en silencio";"ACTIVE";"components/feedback/ErrorState; aislamiento por bloque (Fase 21 · E3.1)";"OK";"INTENTIONALLY_DIFFERENT";"";""
"SH-18";"GLOBAL_SHELL";"Responsive";"Usar el sistema en teléfono";"app.js mob-prod-card, mob-cat-view: sólo el catálogo tiene vista mobile";"CONDITIONAL";"todo el sistema es responsive";"OK";"INTENTIONALLY_DIFFERENT";"";"En el legacy la mayoría de los editores no son usables en teléfono."
"DA-01";"DASHBOARD";"Inicio";"Ver el panel de inicio";"app.js:2910 renderInicio";"ACTIVE";"modules/dashboard/pages/DashboardPage.tsx";"OK";"PARITY";"";""
